film_id,title,description,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost,num_voted_users,rating,special_features,last_update
1, ACADEMY DINOSAUR, A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,1,English,6,99.0,86,2099.0,76750, PG, Deleted Scenes, 2020-01-25 14:40:46
2, ACE GOLDFINGER, A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,1,English,3,499.0,48,1299.0,19350, G, Trailers, 2020-01-25 14:40:46
3, ADAPTATION HOLES, A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,1,English,7,299.0,50,1899.0,20700, NC-17, Trailers, 2020-01-25 14:40:46
4, AFFAIR PREJUDICE, A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,1,English,5,299.0,117,2699.0,45500, G, Commentaries, 2020-01-25 14:40:46
5, AFRICAN EGG, A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,1,English,6,299.0,130,2299.0,11300, G, Deleted Scenes, 2020-01-25 14:40:46
6, AGENT TRUMAN, A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,1,English,3,299.0,169,1799.0,74100, PG, Deleted Scenes, 2020-01-25 14:40:46
7, AIRPLANE SIERRA, A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,1,English,6,499.0,62,2899.0,28400, PG-13, Trailers, 2020-01-25 14:40:46
8, AIRPORT POLLOCK, A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,1,English,6,499.0,54,1599.0,73900, R, Trailers, 2020-01-25 14:40:46
9, ALABAMA DEVIL, A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,1,English,3,299.0,114,2199.0,53100, PG-13, Trailers, 2020-01-25 14:40:46
10, ALADDIN CALENDAR, A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,1,English,6,499.0,63,2499.0,43800, NC-17, Trailers, 2020-01-25 14:40:46
11, ALAMO VIDEOTAPE, A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,1,English,6,99.0,126,1699.0,59850, G, Commentaries, 2020-01-25 14:40:46
12, ALASKA PHANTOM, A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,1,English,6,99.0,136,2299.0,13650, PG, Commentaries, 2020-01-25 14:40:46
13, ALI FOREVER, A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,1,English,4,499.0,150,2199.0,42950, PG, Deleted Scenes, 2020-01-25 14:40:46
14, ALICE FANTASIA, A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,2006,1,English,6,99.0,94,2399.0,19650, NC-17, Trailers, 2020-01-25 14:40:46
15, ALIEN CENTER, A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,1,English,5,299.0,46,1099.0,46550, NC-17, Trailers, 2020-01-25 14:40:46
16, ALLEY EVOLUTION, A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,1,English,6,299.0,180,2399.0,19600, NC-17, Trailers, 2020-01-25 14:40:46
17, ALONE TRIP, A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,1,English,3,99.0,82,1499.0,35500, R, Trailers, 2020-01-25 14:40:46
18, ALTER VICTORY, A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,1,English,6,99.0,57,2799.0,41650, PG-13, Trailers, 2020-01-25 14:40:46
19, AMADEUS HOLY, A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,1,English,6,99.0,113,2099.0,24800, PG, Commentaries, 2020-01-25 14:40:46
20, AMELIE HELLFIGHTERS, A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006,1,English,4,499.0,79,2399.0,76000, R, Commentaries, 2020-01-25 14:40:46
21, AMERICAN CIRCUS, A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,1,English,3,499.0,129,1799.0,74550, R, Commentaries, 2020-01-25 14:40:46
22, AMISTAD MIDSUMMER, A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,1,English,6,299.0,85,1099.0,67600, G, Commentaries, 2020-01-25 14:40:46
23, ANACONDA CONFESSIONS, A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,1,English,3,99.0,92,999.0,37450, R, Trailers, 2020-01-25 14:40:46
24, ANALYZE HOOSIERS, A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,2006,1,English,6,299.0,181,1999.0,61500, R, Trailers, 2020-01-25 14:40:46
25, ANGELS LIFE, A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,2006,1,English,3,299.0,74,1599.0,40950, G, Trailers, 2020-01-25 14:40:46
26, ANNIE IDENTITY, A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,1,English,3,99.0,86,1599.0,20450, G, Commentaries, 2020-01-25 14:40:46
27, ANONYMOUS HUMAN, A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,2006,1,English,7,99.0,179,1299.0,56300, NC-17, Deleted Scenes, 2020-01-25 14:40:46
28, ANTHEM LUKE, A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,2006,1,English,5,499.0,91,1699.0,66200, PG-13, Deleted Scenes, 2020-01-25 14:40:46
29, ANTITRUST TOMATOES, A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,2006,1,English,5,299.0,168,1199.0,8050, NC-17, Trailers, 2020-01-25 14:40:46
30, ANYTHING SAVANNAH, A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,1,English,4,299.0,82,2799.0,72900, R, Trailers, 2020-01-25 14:40:46
31, APACHE DIVINE, A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,2006,1,English,5,499.0,92,1699.0,32000, NC-17, Commentaries, 2020-01-25 14:40:46
32, APOCALYPSE FLAMINGOS, A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,2006,1,English,6,499.0,119,1199.0,18450, R, Trailers, 2020-01-25 14:40:46
33, APOLLO TEEN, A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,2006,1,English,5,299.0,153,1599.0,73300, PG-13, Trailers, 2020-01-25 14:40:46
34, ARABIA DOGMA, A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,2006,1,English,6,99.0,62,2999.0,3000, NC-17, Commentaries, 2020-01-25 14:40:46
35, ARACHNOPHOBIA ROLLERCOASTER, A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,2006,1,English,4,299.0,147,2499.0,26350, PG-13, Trailers, 2020-01-25 14:40:46
36, ARGONAUTS TOWN, A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,2006,1,English,7,99.0,127,1299.0,45650, PG-13, Trailers, 2020-01-25 14:40:46
37, ARIZONA BANG, A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,2006,1,English,3,299.0,121,2899.0,72100, PG, Trailers, 2020-01-25 14:40:46
38, ARK RIDGEMONT, A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,2006,1,English,6,99.0,68,2599.0,69450, NC-17, Trailers, 2020-01-25 14:40:46
39, ARMAGEDDON LOST, A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,2006,1,English,5,99.0,99,1099.0,54050, G, Trailers, 2020-01-25 14:40:46
40, ARMY FLINTSTONES, A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,2006,1,English,4,99.0,148,2299.0,62000, R, Trailers, 2020-01-25 14:40:46
41, ARSENIC INDEPENDENCE, A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,2006,1,English,4,99.0,137,1799.0,70700, PG, Trailers, 2020-01-25 14:40:46
42, ARTIST COLDBLOODED, A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,2006,1,English,5,299.0,170,1099.0,13350, NC-17, Trailers, 2020-01-25 14:40:46
43, ATLANTIS CAUSE, A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,2006,1,English,6,299.0,170,1599.0,8850, G, Behind the Scenes, 2020-01-25 14:40:46
44, ATTACKS HATE, A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,2006,1,English,5,499.0,113,2199.0,4300, PG-13, Trailers, 2020-01-25 14:40:46
45, ATTRACTION NEWTON, A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,2006,1,English,5,499.0,83,1499.0,72050, PG-13, Trailers, 2020-01-25 14:40:46
46, AUTUMN CROW, A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,2006,1,English,3,499.0,108,1399.0,39100, G, Trailers, 2020-01-25 14:40:46
47, BABY HALL, A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,2006,1,English,5,499.0,153,2399.0,56450, NC-17, Commentaries, 2020-01-25 14:40:46
48, BACKLASH UNDEFEATED, A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,2006,1,English,3,499.0,118,2499.0,10900, PG-13, Trailers, 2020-01-25 14:40:46
49, BADMAN DAWN, A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,2006,1,English,6,299.0,162,2299.0,39200, R, Trailers, 2020-01-25 14:40:46
